Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Formulation Compatibility,Molecular Weight,LogP,SMILES,Suppliers
D-Limonene,5989-27-5,D-Limonene,Woods (Agarwood),Base,C10,Hydrocarbon / Other,Aliphatic,No,Standard (Alcohol Compatible),136.24,3.31,C=C(C)C1CC=C(C)CC1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Damascenone,23696-85-7,beta-Damascenone,Woods (Agarwood),Base,C13 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),190.29,3.43,CC=CC(=O)C1=C(C)C=CCC1(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Damascol,57378-68-4,delta-Damascone,Unclassified,,C13 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),192.3,3.37,CC=CC(=O)C1C(C)C=CCC1(C)C,"Fraterworks, PerfumersWorld, SimpleScentsDIY"
Damascol 4,4927-36-0,5-Methyl-5-phenylhexan-3-one,Unclassified,,C13 O1,Ketone,Aromatic (Benzene),No,Standard (Alcohol Compatible),190.29,3.33,CCC(=O)CC(C)(C)c1ccccc1,Fraterworks
Damascone Gamma,35087-49-1,"1-(2,2-dimethyl-6-methylidenecyclohexyl)but-2-en-1-one",Unclassified,,C13 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),192.3,3.51,C=C1CCCC(C)(C)C1C(=O)C=CC,Fraterworks
Dec-9-Enoic Acid (FEMA 3660),14436-32-9,dec-9-enoic acid,Unclassified,,C10 O2,"Allyl, Carboxylic Acid",Aliphatic,No,Standard (Alcohol Compatible),170.25,2.99,C=CCCCCCCCC(=O)O,MySkinRecipes
Decanoic Acid c10-Capric Acid (FEMA 2364),334-48-5,decanoic acid,Unclassified,,C10 O2,Carboxylic Acid,Aliphatic,No,Standard (Alcohol Compatible),172.27,3.21,CCCCCCCCCC(=O)O,MySkinRecipes
Decanol (1,112-30-1,1-DECANOL,Unclassified,,C10 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),158.28,3.12,CCCCCCCCCCO,"Fraterworks, MySkinRecipes, PerfumersWorld"
Decatone,34131-98-1,"2(1H)-Naphthalenone, octahydro-6-(1-methylethyl)-",Unclassified,,C13 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),194.32,3.43,CC(C)C1CCC2CC(=O)CCC2C1,PerfumersWorld
Decyl Acetate (FEMA 2367),112-17-4,decyl acetate,Unclassified,,C12 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),200.32,3.69,CCCCCCCCCCOC(C)=O,MySkinRecipes
