Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Formulation Compatibility,Molecular Weight,LogP,SMILES,Suppliers
Geranyl Nitrile,5146-66-7,citronitrile,Unclassified,,C10 N1,Nitrile,Aliphatic,No,Standard (Alcohol Compatible),149.24,3.2,CC(C)=CCCC(C)=CC#N,"MySkinRecipes, PerfumersWorld"
Geranyl Phenylacetate,102-22-7,Geranyl phenylacetate,Unclassified,,C18 O2,Ester,Aromatic (Benzene),No,Lipophilic (Oil/Wax Compatible),272.39,4.47,CC(C)=CCCC(C)=CCOC(=O)Cc1ccccc1,PerfumersWorld
Geranyl Propionate,105-90-8,"[(2E)-3,7-dimethylocta-2,6-dienyl] propanoate",Unclassified,,C13 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),210.32,3.63,CCC(=O)OCC=C(C)CCC=C(C)C,"Fraterworks, MySkinRecipes"
Givescone,57934-97-1,"Ethyl 2-ethyl-6,6-dimethylcyclohex-2-ene-1-carboxylate",Unclassified,,C13 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),210.32,3.32,CCOC(=O)C1C(CC)=CCCC1(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Globanone®,3100-36-5,cyclohexadec-8-en-1-one,Unclassified,,C16 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Lipophilic (Oil/Wax Compatible),236.4,5.2,O=C1CCCCCCC=CCCCCCCC1,"Fraterworks, SimpleScentsDIY"
Glycolierral,68901-15-5,Allyl cyclohexyloxyacetate,Green (Bitter),Top,C11 O3,"Allyl, Ester, Ether",Aliphatic,No,Standard (Alcohol Compatible),198.26,2.06,C=CCOC(=O)COC1CCCCC1,"MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Grape Butyrate,5405-41-4,ethyl 3-hydroxybutanoate,Unclassified,,C6 O3,"Ester, Secondary Alcohol",Aliphatic,No,Hydrophilic (Water Compatible),132.16,0.32,CCOC(=O)CC(C)O,Fraterworks
Grapefruit Acetal,67674-46-8,"6,6-Dimethoxy-2,5,5-trimethylhex-2-ene",Unclassified,,C11 O2,Acetal,Aliphatic,No,Standard (Alcohol Compatible),186.29,2.99,COC(OC)C(C)(C)CC=C(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Grapefruit Nitrile,75490-39-0,"2,2-dimethyl-4-phenylpentanenitrile",Unclassified,,C13 N1,Nitrile,Aromatic (Benzene),No,Standard (Alcohol Compatible),187.29,3.73,CC(CC(C)(C)C#N)c1ccccc1,MySkinRecipes
Grenoble Pyrazine,5910-89-4,"2,3-DIMETHYLPYRAZINE",Gourmet (Nutty),Top,C6 N2,Pyrazine,Aromatic (Heterocycle),Yes,Standard (Alcohol Compatible),108.14,1.09,Cc1nccnc1C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Guaiacol,90-5-1,guaiacol,Unclassified,,C7 O2,"Ether, Phenol",Aromatic (Benzene),No,Standard (Alcohol Compatible),124.14,1.4,COc1ccccc1O,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Guaiyl Acetate,134-28-1,Guaiol acetate,Unclassified,,C17 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),264.41,4.49,CC(=O)OC(C)(C)C1CCC(C)C2=C(C1)C(C)CC2,"MySkinRecipes, PerfumersWorld"
Habanolide,111879-80-2,"Oxacyclohexadec-12-en-2-one, (12E)-",Musk (Clean/Metallic),Base,C15 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Lipophilic (Oil/Wax Compatible),238.37,4.39,O=C1CCCCCCCCCC=CCCCO1,"Fraterworks, PerfumersWorld, SimpleScentsDIY"
Habanolide,3796-70-1,"(5E)-6,10-dimethylundeca-5,9-dien-2-one",Unclassified,,C13 O1,Ketone,Aliphatic,No,Lipophilic (Oil/Wax Compatible),194.32,4.05,CC(=O)CCC=C(C)CCC=C(C)C,"Fraterworks, MySkinRecipes"
Hedione,24851-98-7,Methyl dihydrojasmonate,Floral (Transparent),Blender,C13 O3,"Ester, Ketone",Aliphatic,No,Standard (Alcohol Compatible),226.32,2.73,CCCCCC1C(=O)CCC1CC(=O)OC,"Fraterworks, PerfumersWorld, SimpleScentsDIY"
Helional,1205-17-0,Helional,Fruit (Apple),Top,C11 O3,"Acetal, Aldehyde",Aromatic (Benzene),Yes,Standard (Alcohol Compatible),192.21,1.79,CC(C=O)Cc1ccc2c(c1)OCO2,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Heliotropin 20% DPG,120-57-0,,Unclassified,,C8 O3,"Acetal, Aldehyde",Aromatic (Benzene),Yes,Standard (Alcohol Compatible),150.13,1.23,O=Cc1ccc2c(c1)OCO2,Fraterworks
Helvetolide,417985-88-7,,Unclassified,,C17 O3,"Ester, Ether",Aliphatic,No,Lipophilic (Oil/Wax Compatible),284.44,4.34,CCC(=O)OCC(C)(C)OC(C)C1CCCC(C)(C)C1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Heptyl Butyrate,5870-93-9,heptyl butanoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),186.29,3.3,CCCCCCCOC(=O)CCC,MySkinRecipes
Herbac®,25304-14-7,"1-(3,3-dimethylcyclohexyl)ethanone",Unclassified,,C10 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),154.25,2.79,CC(=O)C1CCCC(C)(C)C1,Fraterworks
Herbanate®,116126-82-0,"ethyl (1R,2R,3R,4S)-3-propan-2-ylbicyclo[2.2.1]hept-5-ene-2-carboxylate",Unclassified,,C13 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),208.3,2.64,CCOC(=O)C1C2C=CC(C2)C1C(C)C,Fraterworks
Herboxane,54546-26-8,"2-butyl-4,4,6-trimethyl-1,3-dioxane",Unclassified,,C11 O2,Acetal,Aliphatic,Yes,Standard (Alcohol Compatible),186.29,3.11,CCCCC1OC(C)CC(C)(C)O1,Fraterworks
Hexanal Aldehyde C-6 (FEMA 2557),66-25-1,hexanal,Unclassified,,C6 O1,Aldehyde,Aliphatic,No,Standard (Alcohol Compatible),100.16,1.77,CCCCCC=O,MySkinRecipes
Hexanoic Acid,142-62-1,HEXANOIC ACID,Unclassified,,C6 O2,Carboxylic Acid,Aliphatic,No,Standard (Alcohol Compatible),116.16,1.65,CCCCCC(=O)O,"MySkinRecipes, PerfumersWorld"
Hexanol,111-27-3,1-Hexanol,Unclassified,,C6 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),102.18,1.56,CCCCCCO,"Fraterworks, MySkinRecipes, PerfumersWorld"
Hexyl 2-methylbutanoate (FEMA-3499),10032-15-2,hexyl 2-methylbutanoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),186.29,3.16,CCCCCCOC(=O)C(C)CC,MySkinRecipes
Hexyl Acetate,142-92-7,Hexyl acetate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),144.21,2.13,CCCCCCOC(C)=O,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Hexyl Benzoate,6789-88-4,hexyl benzoate,Unclassified,,C13 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),206.29,3.42,CCCCCCOC(=O)c1ccccc1,"Fraterworks, MySkinRecipes"
Hexyl Butyrate,2639-63-6,hexyl butanoate,Unclassified,,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.91,CCCCCCOC(=O)CCC,"Fraterworks, MySkinRecipes"
Hexyl Caprylate,1117-55-1,hexyl octanoate,Unclassified,,C14 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),228.38,4.47,CCCCCCCC(=O)OCCCCCC,Fraterworks
Hexyl Hexanoate (FEMA-2572),6378-65-0,hexyl hexanoate,Unclassified,,C12 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),200.32,3.69,CCCCCCOC(=O)CCCCC,MySkinRecipes
Hexyl Isovalerate,10032-13-0,hexyl 3-methylbutanoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),186.29,3.16,CCCCCCOC(=O)CC(C)C,"Fraterworks, MySkinRecipes"
Hexyl Propionate (FEMA 2576),2445-76-3,,Fruit (Apple),Top,C9 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),158.24,2.52,CCCCCCOC(=O)CC,"MySkinRecipes, PerfumersWorld"
Hexyl Salicylate,6259-76-3,Hexyl salicylate,Floral (Green),Heart,C13 O3,Salicylate,Aromatic (Benzene),No,Standard (Alcohol Compatible),222.28,3.13,CCCCCCOC(=O)c1ccccc1O,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Hexyl Tiglate,16930-96-4,hexyl (E)-2-methylbut-2-enoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),184.28,3.08,CC=C(C)C(=O)OCCCCCC,Fraterworks
Hindinol,28219-60-5,"2-methyl-4-(2,2,3-trimethylcyclopent-3-en-1-yl)but-2-en-1-ol",Unclassified,,C13 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),194.32,3.31,CC(=CCC1CC=C(C)C1(C)C)CO,"Fraterworks, MySkinRecipes, PerfumersWorld"
Honeyflor 1% DPG,2396-78-3,methyl hex-3-enoate,Unclassified,,C7 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),128.17,1.52,CCC=CCC(=O)OC,Fraterworks
Hyacinth Body,2556-10-7,Ethyl phenethyl acetal,Unclassified,,C12 O2,Acetal,Aromatic (Benzene),No,Standard (Alcohol Compatible),194.27,2.63,CCOC(C)OCCc1ccccc1,Fraterworks
Hyacinth Body No. 3,7493-57-4,2-(1-propoxyethoxy)ethylbenzene,Unclassified,,C13 O2,Acetal,Aromatic (Benzene),No,Standard (Alcohol Compatible),208.3,3.02,CCCOC(C)OCCc1ccccc1,Fraterworks
Hydratropic Aldehyde,93-53-8,2-Phenylpropanal,Unclassified,,C9 O1,Aldehyde,Aromatic (Benzene),No,Standard (Alcohol Compatible),134.18,1.99,CC(C=O)c1ccccc1,"Fraterworks, PerfumersWorld"
Hydroxyambran,118562-73-5,2-cyclododecylpropan-1-ol,Unclassified,,C15 O1,Primary Alcohol,Aliphatic,No,Lipophilic (Oil/Wax Compatible),226.4,4.54,CC(CO)C1CCCCCCCCCCC1,Fraterworks
Indisan,5463-39-8,,Unclassified,,C21 O5 N3,"Amine, Carboxylic Acid, Ether, Quinoline","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),405.5,3.37,COc1cc(NCCCCCCNC(C)C)c2ncccc2c1.O=C(O)C(=O)O,PerfumersWorld
Indocolore,2206-94-2,,Unclassified,,C10 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),162.19,2.22,C=C(OC(C)=O)c1ccccc1,"Fraterworks, PerfumersWorld"
Indolarome,18096-62-3,"4,4a,5,9b-tetrahydroindeno[1,2-d][1,3]dioxine",Unclassified,,C11 O2,Acetal,Aromatic (Benzene),Yes,Standard (Alcohol Compatible),176.22,1.9,c1ccc2c(c1)CC1COCOC21,"Fraterworks, MySkinRecipes"
Indole,120-72-9,indole,Animalic (Fecal),Modifier,C8 N1,Indole,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),117.15,2.17,c1ccc2[nH]ccc2c1,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Indolene,67860-0-8,,Unclassified,,C26 O1 N2,"Indole, Tertiary Alcohol","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Lipophilic (Oil/Wax Compatible),388.56,6.75,CC(CCCC(C)(C)O)CC(c1c[nH]c2ccccc12)c1c[nH]c2ccccc12,PerfumersWorld
Iraldeine® Beta,127-43-5,"(E)-1-(2,6,6-trimethylcyclohexen-1-yl)pent-1-en-3-one",Unclassified,,C14 O1,Ketone,Aliphatic,No,Lipophilic (Oil/Wax Compatible),206.33,4.05,CCC(=O)C=CC1=C(C)CCCC1(C)C,Fraterworks
Iraldeine® Delta,79-89-0,"3-methyl-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-one",Unclassified,,C14 O1,Ketone,Aliphatic,No,Lipophilic (Oil/Wax Compatible),206.33,4.05,CC(=O)C(C)=CC1=C(C)CCCC1(C)C,Fraterworks
Iris Nitrile,29127-83-1,(Z)-non-2-enenitrile,Unclassified,,C9 N1,Nitrile,Aliphatic,No,Standard (Alcohol Compatible),137.23,3.04,CCCCCCC=CC#N,Fraterworks
Irotyl,1335-46-2,,Woods (Agarwood),Base,C14 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),206.33,3.9,CCC(=O)C=CC1C(C)=CCCC1(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Irotyl,2983-37-1,Ethyl 2-ethylhexanoate,Unclassified,,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.77,CCCCC(CC)C(=O)OCC,"Fraterworks, MySkinRecipes"
Isoamyl 2-Methylbutyrate (FEMA 3505),27625-35-0,3-methylbutyl 2-methylbutanoate,Unclassified,,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.62,CCC(C)C(=O)OCCC(C)C,MySkinRecipes
Isoamyl Acetate,123-92-2,ISOAMYL ACETATE,Unclassified,,C7 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),130.19,1.6,CC(=O)OCCC(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Isoamyl Alcohol,123-51-3,3-methylbutan-1-ol,Unclassified,,C5 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),88.15,1.02,CC(C)CCO,MySkinRecipes
Isoamyl Benzoate,94-46-2,3-methylbutyl benzoate,Unclassified,,C12 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),192.26,2.89,CC(C)CCOC(=O)c1ccccc1,"Fraterworks, MySkinRecipes"
Isoamyl Butyrate,106-27-4,Isoamyl butyrate,Unclassified,,C9 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),158.24,2.38,CCCC(=O)OCCC(C)C,"MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Isoamyl Cinnamate (FEMA 2063),7779-65-9,3-methylbutyl (E)-3-phenylprop-2-enoate,Unclassified,,C14 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),218.3,3.29,CC(C)CCOC(=O)C=Cc1ccccc1,MySkinRecipes
Isoamyl Formate (FEMA 2069),110-45-2,3-methylbutyl formate,Unclassified,,C6 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),116.16,1.21,CC(C)CCOC=O,MySkinRecipes
Isoamyl Hexanoate,2198-61-0,3-methylbutyl hexanoate,Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),186.29,3.16,CCCCCC(=O)OCCC(C)C,MySkinRecipes
Isoamyl Isovalerate,659-70-1,3-methylbutyl 3-methylbutanoate,Unclassified,,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.62,CC(C)CCOC(=O)CC(C)C,"Fraterworks, MySkinRecipes"
Isoamyl Octanoate (FEMA 2080),2035-99-6,3-methylbutyl octanoate,Unclassified,,C13 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),214.35,3.94,CCCCCCCC(=O)OCCC(C)C,MySkinRecipes
Isoamyl Phenyl Acetate,102-19-2,Isoamyl phenylacetate,Unclassified,,C13 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),206.28,2.82,CC(C)CCOC(=O)Cc1ccccc1,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Isoamyl Salicylate,87-20-7,Isoamyl salicylate,Unclassified,,C12 O3,Salicylate,Aromatic (Benzene),No,Standard (Alcohol Compatible),208.26,2.6,CC(C)CCOC(=O)c1ccccc1O,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Isobornyl Acetate,125-12-2,Isobornyl acetate,Unclassified,,C12 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),196.29,2.76,CC(=O)OC1CC2CCC1(C)C2(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld"
Isobornyl Propionate (FEMA 2163),2756-56-1,"[(1R,2R,4R)-1,7,7-trimethyl-2-bicyclo[2.2.1]heptanyl] propanoate",Unclassified,,C13 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),210.32,3.15,CCC(=O)OC1CC2CCC1(C)C2(C)C,MySkinRecipes
Isobutavan,20665-85-4,Vanillin isobutyrate,Citrus (Orange),Top,C12 O4,"Aldehyde, Ester, Ether",Aromatic (Benzene),No,Standard (Alcohol Compatible),222.24,2.07,COc1cc(C=O)ccc1OC(=O)C(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Isobutyl Acetate (FEMA 2175),110-19-0,2-methylpropyl acetate,Unclassified,,C6 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),116.16,1.21,CC(=O)OCC(C)C,MySkinRecipes
Isobutyl Alcohol,78-83-1,2-methylpropan-1-ol,Unclassified,,C4 O1,Primary Alcohol,Aliphatic,No,Hydrophilic (Water Compatible),74.12,0.63,CC(C)CO,MySkinRecipes
Isobutyl Benzoate,120-50-3,2-methylpropyl benzoate,Unclassified,,C11 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),178.23,2.5,CC(C)COC(=O)c1ccccc1,Fraterworks
Isobutyl Butyrate (FEMA 2187),539-90-2,2-methylpropyl butanoate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),144.21,1.99,CCCC(=O)OCC(C)C,MySkinRecipes
Isobutyl Hexanoate (FEMA 2202),105-79-3,2-methylpropyl hexanoate,Unclassified,,C10 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),172.27,2.77,CCCCCC(=O)OCC(C)C,MySkinRecipes
Isobutyl Isobutyrate (FEMA 2189),97-85-8,2-methylpropyl 2-methylpropanoate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),144.21,1.84,CC(C)COC(=O)C(C)C,MySkinRecipes
Isobutyl Phenyl Acetate,102-13-6,2-methylpropyl 2-phenylacetate,Unclassified,,C12 O2,Ester,Aromatic (Benzene),No,Standard (Alcohol Compatible),192.26,2.43,CC(C)COC(=O)Cc1ccccc1,"Fraterworks, MySkinRecipes"
Isobutyl Quinoline,65442-31-1,6-sec-Butylquinoline,Unclassified,,C13 N1,Quinoline,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),185.27,3.75,CCC(C)c1ccc2ncccc2c1,"Fraterworks, MySkinRecipes, PerfumersWorld"
IsoButyl Quinoline,1333-58-0,(Isobutyl)quinoline,Unclassified,,C13 N1,Quinoline,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),185.27,3.43,CC(C)Cc1ccnc2ccccc12,SimpleScentsDIY
Isobutyl Salicylate,87-19-4,Isobutyl salicylate,Unclassified,,C11 O3,Salicylate,Aromatic (Benzene),No,Standard (Alcohol Compatible),194.23,2.21,CC(C)COC(=O)c1ccccc1O,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Isobutyraldehyde (FEMA 2220),78-84-2,2-methylpropanal,Unclassified,,C4 O1,Aldehyde,Aliphatic,No,Hydrophilic (Water Compatible),72.11,0.84,CC(C)C=O,MySkinRecipes
Isobutyric Acid,79-31-2,ISOBUTYRIC ACID,Unclassified,,C4 O2,Carboxylic Acid,Aliphatic,No,Hydrophilic (Water Compatible),88.11,0.73,CC(C)C(=O)O,"MySkinRecipes, PerfumersWorld"
Isocyclocitral,1335-66-6,DTXSID8044541,Green (Bitter),Top,C20 O2,Aldehyde,Aliphatic,No,Lipophilic (Oil/Wax Compatible),304.47,4.85,CC1=CC(C)C(C)C(C=O)C1.CC1=CC(C)C(C=O)C(C)C1,"Fraterworks, SimpleScentsDIY"
Isoeugenol,97-54-1,Isoeugenol,Balsamic (Sweet),Base,C10 O2,"Ether, Phenol",Aromatic (Benzene),No,Standard (Alcohol Compatible),164.2,2.43,CC=Cc1ccc(O)c(OC)c1,"Fraterworks, MySkinRecipes, PerfumersWorld"
Isojasmone B-11,95-41-0,2-hexylcyclopent-2-en-1-one,Unclassified,,C11 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),166.26,3.25,CCCCCCC1=CCCC1=O,Fraterworks
Isolongifolene,1135-66-6,"(1R,8S)-2,2,7,7-tetramethyltricyclo[6.2.1.01,6]undec-5-ene",Unclassified,,C15,Hydrocarbon / Other,Aliphatic,No,Lipophilic (Oil/Wax Compatible),204.36,4.56,CC1(C)C2=CCCC(C)(C)C23CCC1C3,MySkinRecipes
Isomuscone,2550-52-9,cyclohexadecanone,Unclassified,,C16 O1,"Ketone, Macrocyclic Musk",Aliphatic,No,Lipophilic (Oil/Wax Compatible),238.41,5.42,O=C1CCCCCCCCCCCCCCC1,Fraterworks
Isononyl Acetate,58430-94-7,"3,5,5-Trimethylhexyl acetate",Unclassified,,C11 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),186.29,3.01,CC(=O)OCCC(C)CC(C)(C)C,"MySkinRecipes, PerfumersWorld"
Isopentyl Decanoate,2306-91-4,3-methylbutyl decanoate,Unclassified,,C15 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),242.4,4.72,CCCCCCCCCC(=O)OCCC(C)C,MySkinRecipes
Isophytol,505-32-8,"3,7,11,15-tetramethylhexadec-1-en-3-ol",Unclassified,,C20 O1,Tertiary Alcohol,Aliphatic,No,Lipophilic (Oil/Wax Compatible),296.54,6.36,C=CC(C)(O)CCCC(C)CCCC(C)CCCC(C)C,Fraterworks
Isopropyl 2-Methyl Butyrate (FEMA 3699),66576-71-4,propan-2-yl 2-methylbutanoate,Unclassified,,C8 O2,Ester,Aliphatic,No,Standard (Alcohol Compatible),144.21,1.98,CCC(C)C(=O)OC(C)C,MySkinRecipes
Isopropyl Palmitate (IPP),142-91-6,,Unclassified,,C19 O2,Ester,Aliphatic,No,Lipophilic (Oil/Wax Compatible),298.51,6.42,CCCCCCCCCCCCCCCC(=O)OC(C)C,PerfumersWorld
Isopropyl Quinoline 10% in DPG,135-79-5,6-propan-2-ylquinoline,Unclassified,,C12 N1,Quinoline,"Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Standard (Alcohol Compatible),171.24,3.36,CC(C)c1ccc2ncccc2c1,Fraterworks
Isopulegol,89-79-2,"(1R,2S,5R)-5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol",Unclassified,,C10 O1,Secondary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),154.25,2.36,C=C(C)C1CCC(C)CC1O,MySkinRecipes
Isovaleric Acid (FEMA 3102),503-74-2,3-methylbutanoic acid,Unclassified,,C5 O2,Carboxylic Acid,Aliphatic,No,Standard (Alcohol Compatible),102.13,1.12,CC(C)CC(=O)O,MySkinRecipes
Ivy Dioxolane,68901-32-6,EINECS 272-669-9,Unclassified,,C15 O2,Acetal,Aliphatic,Yes,Standard (Alcohol Compatible),236.35,3.23,CC1=CC2CC(C3OCCO3)C1CC2C(C)C,"Fraterworks, MySkinRecipes"
Jasminlactone,25524-95-2,6-[(Z)-pent-2-enyl]oxan-2-one,Unclassified,,C10 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),168.24,2.44,CCC=CCC1CCCC(=O)O1,Fraterworks
Jasmolactone,32764-98-0,8-Decen-5-olide,Unclassified,,C10 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),168.24,2.44,CC=CCCC1CCCC(=O)O1,"Fraterworks, PerfumersWorld, SimpleScentsDIY"
Jasmonal H (HCA),101-86-0,alpha-Hexylcinnamaldehyde,Floral (Hay),Heart,C15 O1,Aldehyde,Aromatic (Benzene),No,Lipophilic (Oil/Wax Compatible),216.32,4.24,CCCCCCC(C=O)=Cc1ccccc1,"Fraterworks, PerfumersWorld, SimpleScentsDIY"
Jasmoneige™,1211-29-6,,Unclassified,,C13 O3,"Ester, Ketone",Aliphatic,No,Standard (Alcohol Compatible),224.3,2.5,CCC=CCC1C(=O)CCC1CC(=O)OC,"Fraterworks, MySkinRecipes, PerfumersWorld"
Jasmonyl®,18871-14-2,Jasmopyrane,Unclassified,,C12 O3,"Ester, Ether",Aliphatic,Yes,Standard (Alcohol Compatible),214.3,2.53,CCCCCC1COCCC1OC(C)=O,"Fraterworks, PerfumersWorld"
Javanol,198404-98-7,Javanol,Woods (Sandal),Base,C15 O1,Primary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),222.37,3.47,CC1(CO)CC1CC1CC2CC2(C)C1(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Jessemal,38285-49-3,5-Methyl-3-butyltetrahydropyran-4-yl acetate,Unclassified,,C12 O3,"Ester, Ether",Aliphatic,Yes,Standard (Alcohol Compatible),214.3,2.39,CCCCC1COCC(C)C1OC(C)=O,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Jessemal Jasmonyl (FEMA 2783),1322-17-4,3-hydroxynonyl acetate,Unclassified,,C11 O3,"Ester, Secondary Alcohol",Aliphatic,No,Standard (Alcohol Compatible),202.29,2.27,CCCCCCC(O)CCOC(C)=O,MySkinRecipes
Karanal,117933-89-8,"2-(2,4-dimethyl-3-cyclohexen-1-yl)-5-methyl-5-(1-methylpropyl)-1,3-dioxane",Unclassified,,C17 O2,Acetal,Aliphatic,Yes,Lipophilic (Oil/Wax Compatible),266.42,4.4,CCC(C)C1(C)COC(C2CCC(C)=CC2C)OC1,"Fraterworks, PerfumersWorld"
Kephalis,36306-87-3,Kephalis,Unclassified,,C14 O2,"Ether, Ketone",Aliphatic,No,Standard (Alcohol Compatible),224.34,3.57,C=C(OCC)C1C(C)(C)CC(=O)CC1(C)C,"Fraterworks, MySkinRecipes, PerfumersWorld, SimpleScentsDIY"
Ketoisophorone,1125-21-9,"2,6,6-trimethylcyclohex-2-ene-1,4-dione",Unclassified,,C9 O2,Ketone,Aliphatic,No,Standard (Alcohol Compatible),152.19,1.5,CC1=CC(=O)CC(C)(C)C1=O,Fraterworks
Koavone,81786-75-6,"3,5,6,6-Tetramethyl-4-methyleneheptan-2-one",Unclassified,,C12 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),182.31,3.45,C=C(C(C)C(C)=O)C(C)C(C)(C)C,SimpleScentsDIY
Koavone®,81786-73-4,"(Z)-3,4,5,6,6-Pentamethylhept-3-en-2-one",Unclassified,,C12 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),182.31,3.59,CC(=O)C(C)=C(C)C(C)C(C)(C)C,"Fraterworks, MySkinRecipes"
Kohinool,87118-95-4,"3,4,5,6,6-pentamethylheptan-2-ol",Unclassified,,C12 O1,Secondary Alcohol,Aliphatic,No,Standard (Alcohol Compatible),186.34,3.32,CC(O)C(C)C(C)C(C)C(C)(C)C,"Fraterworks, MySkinRecipes, SimpleScentsDIY"
Koumalactone Firmenich (FEMA 4032),92015-65-1,"3,6-dimethyl-3a,4,5,6,7,7a-hexahydro-3H-1-benzofuran-2-one",Unclassified,,C10 O2,Lactone,Aliphatic,Yes,Standard (Alcohol Compatible),168.24,1.98,CC1CCC2C(C1)OC(=O)C2C,MySkinRecipes
L-Carvone,6485-40-1,,Musk (Botanical),Base,C10 O1,Ketone,Aliphatic,No,Standard (Alcohol Compatible),150.22,2.49,C=C(C)C1CC=C(C)C(=O)C1,"MySkinRecipes, PerfumersWorld"
