SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
1CN00321,Nerolin Yara yara from PerfumersWorld,93-04-9,2-METHOXYNAPHTHALENE,Phenolic,No description available,C11 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),158.2,2.85,COC1=CC2=CC=CC=C2C=C1
8F3094001780,Neroline Bromelia (Powder) from SimpleScentsDIY,93-18-5,Nerolin Bromelia,Phenolic,No description available,C12 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),172.23,3.24,CCOC1=CC2=CC=CC=C2C=C1
3RF05061,Neryl Acetate from PerfumersWorld,141-12-8,Neryl acetate,Floral,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,3.24,CC(=CCCC(=CCOC(=O)C)C)C
8F3094001767,Neryl Acetate from SimpleScentsDIY,141-12-8,Neryl acetate,Floral,No description available,C12 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),196.29,3.24,CC(=CCCC(=CCOC(=O)C)C)C
3LA00326,Nopyl Acetate from PerfumersWorld,128-51-8,(-)-Nopyl acetate,Green (Herbal),No description available,C13 O2,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),208.3,2.93,CC(=O)OCCC1=CCC2CC1C2(C)C
5WU23677,Norlimbanol Dextro 10% in DPG from PerfumersWorld,70788-30-6,"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",Woods (Dry Amber),Base,C15 O1,Secondary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),226.4,4.39,CCCC(CCC1C(CCCC1(C)C)C)O
4WU22432,Norlimbanol Dextro from PerfumersWorld,70788-30-6,"1-(2,2,6-Trimethylcyclohexyl)-3-hexanol",Woods (Dry Amber),Base,C15 O1,Secondary Alcohol,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),226.4,4.39,CCCC(CCC1C(CCCC1(C)C)C)O
3MA22553,Nympheal from PerfumersWorld,1637294-12-2,3-(4-isobutyl-2-methylphenyl)propanal,Floral (Muguet),Heart,C14 O1,Aldehyde,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),204.31,3.33,CC1=C(C=CC(=C1)CC(C)C)CCC=O
3QC00330,Ocimene from PerfumersWorld,13877-91-3,beta-Ocimene,Floral,No description available,C10,Hydrocarbon / Other,Aliphatic,No,Top Note,Standard (Alcohol Compatible),136.24,3.48,CC(=CCC=C(C)C=C)C
8F3094005321,Ocimene from SimpleScentsDIY,13877-91-3,beta-Ocimene,Floral,No description available,C10,Hydrocarbon / Other,Aliphatic,No,Top Note,Standard (Alcohol Compatible),136.24,3.48,CC(=CCC=C(C)C=C)C
8F3094005338,Octahydrocoumarin from SimpleScentsDIY,4430-31-3,Octahydrocoumarin,Balsamic,No description available,C9 O2,Lactone,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),154.21,1.88,C1CCC2C(C1)CCC(=O)O2
8F3094004202,Oranger Crystals (Powder) from SimpleScentsDIY,93-08-3,2-Acetylnaphthalene,Floral (Mimosa),Heart,C12 O1,Ketone,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),170.21,3.04,CC(=O)C1=CC2=CC=CC=C2C=C1
8F3094004203,Oranger Crystals 10 % in DPG from SimpleScentsDIY,93-08-3,2-Acetylnaphthalene,Floral (Mimosa),Heart,C12 O1,Ketone,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),170.21,3.04,CC(=O)C1=CC2=CC=CC=C2C=C1
5NC07839,Oranger Crystals 10% in DPG from PerfumersWorld,93-08-3,2-Acetylnaphthalene,Floral (Mimosa),Heart,C12 O1,Ketone,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),170.21,3.04,CC(=O)C1=CC2=CC=CC=C2C=C1
1NC00340,Oranger Crystals from PerfumersWorld,93-08-3,2-Acetylnaphthalene,Floral (Mimosa),Heart,C12 O1,Ketone,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),170.21,3.04,CC(=O)C1=CC2=CC=CC=C2C=C1
3IA00343,Orivone from PerfumersWorld,16587-71-6,4-tert-Pentylcyclohexanone,Floral,No description available,C11 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),168.28,3.18,CCC(C)(C)C1CCC(=O)CC1
8F3094001836,Orivone from SimpleScentsDIY,16587-71-6,4-tert-Pentylcyclohexanone,Floral,No description available,C11 O1,Ketone,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),168.28,3.18,CCC(C)(C)C1CCC(=O)CC1
3WX00347,Osyrol from PerfumersWorld,41890-92-0,"3,7-dimethyl-7-methoxyoctan-2-ol",Woods,No description available,C11 O2,"Ether, Secondary Alcohol",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),188.31,2.6,CC(CCCC(C)(C)OC)C(C)O
8F3094001783,Para-Cresol from SimpleScentsDIY,106-44-5,P-CRESOL,Woods (Agarwood),Base,C7 O1,Phenol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),108.14,1.7,CC1=CC=C(C=C1)O
4GF14127,Paradisamide from PerfumersWorld,406488-30-0,"Butanamide, 2-ethyl-N-methyl-N-(3-methylphenyl)-",Fruit (Tropical),Heart,C14 O1 N1,Hydrocarbon / Other,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),219.33,3.39,CCC(CC)C(=O)N(C)C1=CC=CC(=C1)C
5IG11455,Parmavert 10% in DPG from PerfumersWorld,13257-44-8,"1,1-Dimethoxynon-2-yne",Unclassified,No description available,C11 O2,Acetal,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),184.28,2.58,CCCCCCC#CC(OC)OC
4IG05175,Parmavert from PerfumersWorld,13257-44-8,"1,1-Dimethoxynon-2-yne",Unclassified,No description available,C11 O2,Acetal,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),184.28,2.58,CCCCCCC#CC(OC)OC
8F3094001782,Patchone (Powder) from SimpleScentsDIY,98-52-2,4-tert-Butylcyclohexanol,Woods,No description available,C10 O1,Secondary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.58,CC(C)(C)C1CCC(CC1)O
3RB12753,Peonile from PerfumersWorld,10461-98-0,alpha-cyclohexylidene benzeneacetonitrile,Floral (Peony),Heart,C14 N1,Nitrile,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),197.28,3.93,C1CCC(=C(C#N)C2=CC=CC=C2)CC1
8F3094001707,Peonile from SimpleScentsDIY,10461-98-0,alpha-cyclohexylidene benzeneacetonitrile,Floral (Peony),Heart,C14 N1,Nitrile,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),197.28,3.93,C1CCC(=C(C#N)C2=CC=CC=C2)CC1
8F3094001824,Peranat from SimpleScentsDIY,90397-38-9,2-Methylpentyl 2-methylpentanoate,Fruity,No description available,C12 O2,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),200.32,3.4,CCCC(C)COC(=O)C(C)CCC
3RB00369,Phenoxy Ethyl Isobutyrate from PerfumersWorld,103-60-6,2-Phenoxyethyl isobutyrate,Green,No description available,C12 O3,"Ester, Ether",Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),208.26,2.26,CC(C)C(=O)OCCOC1=CC=CC=C1
5GP07497,Phenyl Acetaldehyde 85% in PEA from PerfumersWorld,122-78-1,phenylacetaldehyde,Green (Harsh),Top,C8 O1,Aldehyde,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),120.15,1.43,C1=CC=C(C=C1)CC=O
5GN08326,Phenyl Acetaldehyde Dimethyl Acetal (PADMA) 10% in DPG from PerfumersWorld,122-78-1,phenylacetaldehyde,Green (Harsh),Top,C8 O1,Aldehyde,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),120.15,1.43,C1=CC=C(C=C1)CC=O
4GN00382,Phenyl Acetaldehyde Dimethyl Acetal (PADMA) from PerfumersWorld,122-78-1,phenylacetaldehyde,Green (Harsh),Top,C8 O1,Aldehyde,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),120.15,1.43,C1=CC=C(C=C1)CC=O
3RP00371,Phenyl Ethyl Acetate from PerfumersWorld,103-45-7,Phenethyl acetate,Floral,No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,1.79,CC(=O)OCCC1=CC=CC=C1
8F3094004213,Phenyl Ethyl Acetate from SimpleScentsDIY,103-45-7,Phenethyl acetate,Floral,No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,1.79,CC(=O)OCCC1=CC=CC=C1
3RM00358,Phenyl Ethyl Alcohol (PEA) from PerfumersWorld,60-12-8,2-PHENYLETHANOL,Green (Harsh),Top,C8 O1,Primary Alcohol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),122.17,1.22,C1=CC=C(C=C1)CCO
8F3094001283,Phenyl Ethyl Alcohol from SimpleScentsDIY,60-12-8,2-PHENYLETHANOL,Green (Harsh),Top,C8 O1,Primary Alcohol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),122.17,1.22,C1=CC=C(C=C1)CCO
4RW00373,Phenyl Ethyl Formate from PerfumersWorld,104-62-1,2-Phenylethyl formate,Floral,No description available,C9 O2,Ester,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),150.18,1.4,C1=CC=C(C=C1)CCOC=O
5RL08476,Phenyl Ethyl Isoamyl Ether 10% in DPG from PerfumersWorld,56011-02-0,Isopentyl phenethyl ether,Green,No description available,C13 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),192.3,3.29,CC(C)CCOCCC1=CC=CC=C1
4RL00374,Phenyl Ethyl Isoamyl Ether from PerfumersWorld,56011-02-0,Isopentyl phenethyl ether,Green,No description available,C13 O1,Ether,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),192.3,3.29,CC(C)CCOCCC1=CC=CC=C1
3RB00375,Phenyl Ethyl Isobutyrate from PerfumersWorld,103-48-0,Phenethyl isobutyrate,Floral,No description available,C12 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),192.26,2.43,CC(C)C(=O)OCCC1=CC=CC=C1
5RP07854,Phenyl Ethyl Phenyl Acetate 50% in DPG from PerfumersWorld,102-20-5,Phenethyl phenylacetate,Floral,No description available,C16 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),240.3,3.02,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2
3RP00377,Phenyl Ethyl Phenyl Acetate from PerfumersWorld,102-20-5,Phenethyl phenylacetate,Floral,No description available,C16 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),240.3,3.02,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2
5RO12473,Phenyl Ethyl Salicylate 10% in DPG from PerfumersWorld,87-22-9,Phenethyl salicylate,Floral,No description available,C15 O3,Salicylate,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),242.27,2.79,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2O
1RO05275,Phenyl Ethyl Salicylate from PerfumersWorld,87-22-9,Phenethyl salicylate,Floral,No description available,C15 O3,Salicylate,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),242.27,2.79,C1=CC=C(C=C1)CCOC(=O)C2=CC=CC=C2O
3GN00379,Phenyl Propyl Alcohol from PerfumersWorld,122-97-4,3-PHENYL-1-PROPANOL,Balsamic (Sweet),No description available,C9 O1,Primary Alcohol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),136.19,1.61,C1=CC=C(C=C1)CCCO
5GN10163,Phenylacetaldehyde 10% in DPG from PerfumersWorld,122-78-1,phenylacetaldehyde,Green (Harsh),Top,C8 O1,Aldehyde,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),120.15,1.43,C1=CC=C(C=C1)CC=O
5GP07498,Phenylacetaldehyde 50% in PEA from PerfumersWorld,122-78-1,phenylacetaldehyde,Green (Harsh),Top,C8 O1,Aldehyde,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),120.15,1.43,C1=CC=C(C=C1)CC=O
3WI00384,Physeol from PerfumersWorld,68845-00-1,"2-Ethoxy-2,6,6-trimethyl-9-methylenebicyclo[3.3.1]nonane",Woods,No description available,C15 O1,Ether,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),222.37,4.18,CCOC1(CCC2C(=C)C1CCC2(C)C)C
3VN06814,Piperonyl acetate from PerfumersWorld,326-61-4,PIPERONYL ACETATE,Floral,No description available,C10 O4,"Acetal, Ester",Aromatic (Benzene),Yes,Heart Note,Standard (Alcohol Compatible),194.19,1.48,CC(=O)OCC1=CC2=C(C=C1)OCO2
3WM16912,Polysantol from PerfumersWorld,107898-54-4,"(E)-3,3-dimethyl-5-(2,2,3-trimethylcyclopent-3-en-1-yl)pent-4-en-2-ol",Woods (Rot),Base,C15 O1,Secondary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),222.37,3.94,CC1=CCC(C1(C)C)C=CC(C)(C)C(C)O
3MC11054,Precyclemone B from PerfumersWorld,52474-60-9,Precyclemone B,Citrus,No description available,C14 O1,Aldehyde,Aliphatic,No,Base Note,Lipophilic (Oil/Wax Compatible),206.33,4.05,CC(=CCCC1=CCCC(C1)(C)C=O)C
3FG00387,Prenyl Acetate from PerfumersWorld,1191-16-8,Prenyl acetate,Fruity,No description available,C7 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),128.17,1.52,CC(=CCOC(=O)C)C
5UY19282,Pyralone 10% in DPG from PerfumersWorld,65442-31-1,6-sec-Butylquinoline,Leather,No description available,C13 N1,"Pyridine, Quinoline","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Heart Note,Standard (Alcohol Compatible),185.27,3.75,CCC(C)C1=CC2=C(C=C1)N=CC=C2
9UY19188,Pyralone from PerfumersWorld,65442-31-1,6-sec-Butylquinoline,Leather,No description available,C13 N1,"Pyridine, Quinoline","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Heart Note,Standard (Alcohol Compatible),185.27,3.75,CCC(C)C1=CC2=C(C=C1)N=CC=C2
8F3094001565,Raspberry Ketone (Powder) from SimpleScentsDIY,5471-51-2,Raspberry ketone,Fruit (Apple),Top,C10 O2,"Ketone, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,1.91,CC(=O)CCC1=CC=C(C=C1)O
5FL07524,Raspberry Ketone 10% in DPG from PerfumersWorld,5471-51-2,Raspberry ketone,Fruit (Apple),Top,C10 O2,"Ketone, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,1.91,CC(=O)CCC1=CC=C(C=C1)O
1FL00392,Raspberry Ketone from PerfumersWorld,5471-51-2,Raspberry ketone,Fruit (Apple),Base,C10 O2,"Ketone, Phenol",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,1.91,CC(=O)CCC1=CC=C(C=C1)O
8F3094001785,Rhubafuran from SimpleScentsDIY,82461-14-1,RHUBAFURAN,Citrus,No description available,C12 O1,Ether,Aromatic (Benzene),Yes,Heart Note,Standard (Alcohol Compatible),176.26,2.75,CC1CC(CO1)(C)C2=CC=CC=C2
3FL06757,Rhubofix from PerfumersWorld,41816-03-9,Rhubofix,Fruit (Rhubarb),Heart,C14 O1,Ether,Aliphatic,Yes,Base Note,Standard (Alcohol Compatible),204.31,3.16,CC1C2(O1)CC3CC2C4C3CC=C(C4)C
8F3094001888,Rhubofix from SimpleScentsDIY,41816-03-9,Rhubofix,Fruit (Rhubarb),Heart,C14 O1,Ether,Aliphatic,Yes,Base Note,Standard (Alcohol Compatible),204.31,3.16,CC1C2(O1)CC3CC2C4C3CC=C(C4)C
3XU22379,Romandolide from PerfumersWorld,236391-76-7,"Acetic acid, 2-(1-oxopropoxy)-, 1-(3,3-dimethylcyclohexyl)ethyl ester",Musk,No description available,C15 O4,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),270.37,3.09,CCC(=O)OCC(=O)OC(C)C1CCCC(C1)(C)C
8F3094001902,Romandolide from SimpleScentsDIY,236391-76-7,"Acetic acid, 2-(1-oxopropoxy)-, 1-(3,3-dimethylcyclohexyl)ethyl ester",Musk,No description available,C15 O4,Ester,Aliphatic,No,Base Note,Standard (Alcohol Compatible),270.37,3.09,CCC(=O)OCC(=O)OC(C)C1CCCC(C1)(C)C
8F3094001786,Rosafix (Powder) from SimpleScentsDIY,90-17-5,"2,2,2-Trichloro-1-phenylethyl acetate",Floral,No description available,C10 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),267.54,3.66,CC(=O)OC(C1=CC=CC=C1)C(Cl)(Cl)Cl
5RA07537,Rosalva 10% in DPG from PerfumersWorld,13019-22-2,9-DECEN-1-OL,Floral,No description available,C10 O1,"Allyl, Primary Alcohol",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.9,C=CCCCCCCCCO
4RA00394,Rosalva from PerfumersWorld,13019-22-2,9-DECEN-1-OL,Floral,No description available,C10 O1,"Allyl, Primary Alcohol",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),156.27,2.9,C=CCCCCCCCCO
5RB10952,Rose Otto Anatolian 10% in DPG from PerfumersWorld,100-51-6,benzyl alcohol,Aldehydic (Complex),Base,C7 O1,Primary Alcohol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),108.14,1.18,C1=CC=C(C=C1)CO
5RR12478,Rose Otto Bulgarian 10% in DPG from PerfumersWorld,100-51-6,benzyl alcohol,Aldehydic (Complex),Base,C7 O1,Primary Alcohol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),108.14,1.18,C1=CC=C(C=C1)CO
5RL07536,Rose Oxide 10% in DPG from PerfumersWorld,16409-43-1,Rose oxide,Green (Metallic),Top,C10 O1,Ether,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),154.25,2.77,CC1CCOC(C1)C=C(C)C
4RL00399,Rose Oxide from PerfumersWorld,16409-43-1,Rose oxide,Green (Metallic),Top,C10 O1,Ether,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),154.25,2.77,CC1CCOC(C1)C=C(C)C
8F3094001549,Rose Oxide from SimpleScentsDIY,16409-43-1,Rose oxide,Green (Metallic),Top,C10 O1,Ether,Aliphatic,Yes,Heart Note,Standard (Alcohol Compatible),154.25,2.77,CC1CCOC(C1)C=C(C)C
5RP08966,Rosone Rose Crystals 10% in DEP from PerfumersWorld,90-17-5,"2,2,2-Trichloro-1-phenylethyl acetate",Floral,No description available,C10 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),267.54,3.66,CC(=O)OC(C1=CC=CC=C1)C(Cl)(Cl)Cl
5RP07870,Rosone Rose Crystals 10% in DPG from PerfumersWorld,90-17-5,"2,2,2-Trichloro-1-phenylethyl acetate",Floral,No description available,C10 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),267.54,3.66,CC(=O)OC(C1=CC=CC=C1)C(Cl)(Cl)Cl
1RP05672,Rosone Rose Crystals from PerfumersWorld,90-17-5,"2,2,2-Trichloro-1-phenylethyl acetate",Floral,No description available,C10 O2,Ester,Aromatic (Benzene),No,Base Note,Standard (Alcohol Compatible),267.54,3.66,CC(=O)OC(C1=CC=CC=C1)C(Cl)(Cl)Cl
5ES07841,Saffranal 10% in DPG from PerfumersWorld,116-26-7,Safranal,Woods (Rot),Base,C10 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),150.22,2.49,CC1=C(C(CC=C1)(C)C)C=O
4ES00402,Saffranal from PerfumersWorld,116-26-7,Safranal,Woods (Rot),Base,C10 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),150.22,2.49,CC1=C(C(CC=C1)(C)C)C=O
4ES11978,Safraleine from PerfumersWorld,54440-17-4,"2,3,3-Trimethylindanone",Spice (Saffron),Heart,C12 O1,Ketone,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),174.24,2.8,CC1C(=O)C2=CC=CC=C2C1(C)C
5ES09556,Safranal 1% in DPG from PerfumersWorld,116-26-7,Safranal,Woods (Rot),Base,C10 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),150.22,2.49,CC1=C(C(CC=C1)(C)C)C=O
8F3094001649,Safranal from SimpleScentsDIY,116-26-7,Safranal,Woods (Rot),Base,C10 O1,Aldehyde,Aliphatic,No,Top Note,Standard (Alcohol Compatible),150.22,2.49,CC1=C(C(CC=C1)(C)C)C=O
4WX00405,Sandalore from PerfumersWorld,65113-99-7,Sandalore,Woods,No description available,C14 O1,Secondary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),210.36,3.78,CC1=CCC(C1(C)C)CCC(C)C(C)O
8F3094001548,Sandalore from SimpleScentsDIY,65113-99-7,Sandalore,Woods,No description available,C14 O1,Secondary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),210.36,3.78,CC1=CCC(C1(C)C)CCC(C)C(C)O
3WX00407,Sandela 50 from PerfumersWorld,28219-61-6,Sandela,Woods,No description available,C14 O1,Primary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),208.34,3.7,CCC(=CCC1CC=C(C1(C)C)C)CO
3WX13005,Sandela 85 from PerfumersWorld,28219-61-6,Sandela,Woods,No description available,C14 O1,Primary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),208.34,3.7,CCC(=CCC1CC=C(C1(C)C)C)CO
8F3094001756,Sandela 85 from SimpleScentsDIY,3407-42-9,Isobornyl cyclohexanol,Woods,No description available,C16 O1,Secondary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),236.4,3.86,CC1C2CC(C1(C)C)CC2C3CCCC(C3)O
3WX07632,Sandenol 208 from PerfumersWorld,65113-99-7,Sandalore,Woods,No description available,C14 O1,Secondary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),210.36,3.78,CC1=CCC(C1(C)C)CCC(C)C(C)O
3WX07631,Sandenol 803 from PerfumersWorld,66068-84-6,"Cyclohexanol, 4-(5,5,6-trimethylbicyclo(2.2.1)hept-2-yl)-",Woods,No description available,C16 O1,Secondary Alcohol,Aliphatic,No,Base Note,Standard (Alcohol Compatible),236.4,3.86,CC1C2CC(C1(C)C)CC2C3CCC(CC3)O
5YM23701,Scentenal 10% in DPG from PerfumersWorld,86803-90-9,Scentenal,Facet (Marine),No description available,C12 O2,"Aldehyde, Ether",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),194.27,1.88,COC1CC2CC1C3C2CC(C3)C=O
4YM22431,Scentenal from PerfumersWorld,86803-90-9,Scentenal,Facet (Marine),No description available,C12 O2,"Aldehyde, Ether",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),194.27,1.88,COC1CC2CC1C3C2CC(C3)C=O
8F3094001889,Scentenal from SimpleScentsDIY,86803-90-9,Scentenal,Facet (Marine),No description available,C12 O2,"Aldehyde, Ether",Aliphatic,No,Heart Note,Standard (Alcohol Compatible),194.27,1.88,COC1CC2CC1C3C2CC(C3)C=O
8F3094005314,Silvanone Supra from SimpleScentsDIY,109-29-5,OXACYCLOHEPTADECAN-2-ONE,Musk,No description available,C16 O2,"Lactone, Macrocyclic Musk",Aliphatic,Yes,Base Note,Lipophilic (Oil/Wax Compatible),254.41,5.0,C1CCCCCCCC(=O)OCCCCCCC1
5UN08964,Skatole 1% in DPG from PerfumersWorld,83-34-1,3-METHYLINDOLE,Animalic,No description available,C9 N1,"Indole, Pyrrole","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Top Note,Standard (Alcohol Compatible),131.18,2.48,CC1=CNC2=CC=CC=C12
9UU00413,Skatole from PerfumersWorld,83-34-1,3-METHYLINDOLE,Animalic,No description available,C9 N1,"Indole, Pyrrole","Aromatic (Benzene), Aromatic (Heterocycle)",Yes,Top Note,Standard (Alcohol Compatible),131.18,2.48,CC1=CNC2=CC=CC=C12
5GL08170,Stemone 10% in DPG from PerfumersWorld,22457-23-4,Stemone,Green (Stem),Modifier,C8 O1 N1,Oxime,Aliphatic,No,Top Note,Standard (Alcohol Compatible),143.23,2.66,CCC(C)CC(=NO)CC
4GL00415,Stemone from PerfumersWorld,22457-23-4,Stemone,Green (Stem),Modifier,C8 O1 N1,Oxime,Aliphatic,No,Top Note,Standard (Alcohol Compatible),143.23,2.66,CCC(C)CC(=NO)CC
8F3094001706,Stemone from SimpleScentsDIY,22457-23-4,Stemone,Green (Stem),Modifier,C8 O1 N1,Oxime,Aliphatic,No,Top Note,Standard (Alcohol Compatible),143.23,2.66,CCC(C)CC(=NO)CC
5GN07535,Styralyl Acetate 10% in DPG from PerfumersWorld,93-92-5,1-Phenylethyl acetate,Green,No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,2.31,CC(C1=CC=CC=C1)OC(=O)C
4GN00417,Styralyl Acetate from PerfumersWorld,93-92-5,1-Phenylethyl acetate,Green,No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,2.31,CC(C1=CC=CC=C1)OC(=O)C
8F3094004196,Styralyl Acetate from SimpleScentsDIY,93-92-5,1-Phenylethyl acetate,Green,No description available,C10 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),164.2,2.31,CC(C1=CC=CC=C1)OC(=O)C
4GN00418,Styralyl Alcohol from PerfumersWorld,98-85-1,1-Phenylethanol,Chemical / Other,No description available,C8 O1,Secondary Alcohol,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),122.17,1.74,CC(C1=CC=CC=C1)O
4GN00419,Styralyl Propionate from PerfumersWorld,120-45-6,1-Phenylethyl propionate,Fruity,No description available,C11 O2,Ester,Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),178.23,2.7,CCC(=O)OC(C)C1=CC=CC=C1
8F3094001827,Sulfurol (Milky) from SimpleScentsDIY,137-00-8,4-METHYL-5-THIAZOLEETHANOL,Gourmet (Sweet),No description available,C6 O1 N1 S1,"Primary Alcohol, Thiazole",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),143.21,0.99,CC1=C(SC=N1)CCO
5ED08420,Sulfurol 1% in DPG from PerfumersWorld,137-00-8,4-METHYL-5-THIAZOLEETHANOL,Gourmet (Sweet),No description available,C6 O1 N1 S1,"Primary Alcohol, Thiazole",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),143.21,0.99,CC1=C(SC=N1)CCO
4ED00423,Sulfurol from PerfumersWorld,137-00-8,4-METHYL-5-THIAZOLEETHANOL,Gourmet (Sweet),No description available,C6 O1 N1 S1,"Primary Alcohol, Thiazole",Aromatic (Heterocycle),Yes,Top Note,Hydrophilic (Water Compatible),143.21,0.99,CC1=C(SC=N1)CCO
TEC,TEC,77-93-0,TRIETHYL CITRATE,Unclassified,No description available,C12 O7,"Ester, Tertiary Alcohol",Aliphatic,No,Base Note,Hydrophilic (Water Compatible),276.28,0.19,CCOC(=O)CC(CC(=O)OCC)(C(=O)OCC)O
3KK05584,Terpineol from PerfumersWorld,8000-41-7,Terpineol,Floral (Lilac),Heart,C10 O1,Tertiary Alcohol,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),154.25,2.5,CC1=CCC(CC1)C(C)(C)O
