SKU,Material Name,CAS Number,Official Name,Odor Family,Odor Description,Atom Counts,Functional Groups,Aromaticity,Heterocyclic,Estimated Note (Volatility),Formulation Compatibility,Molecular Weight,LogP,SMILES
9FC01313,Ethyl Acetate from PerfumersWorld,141-78-6,ETHYL ACETATE,Fruity,No description available,C4 O2,Ester,Aliphatic,No,Top Note,Hydrophilic (Water Compatible),88.11,0.57,CCOC(=O)C
8F3094001641,Ethyl Acetate from SimpleScentsDIY,141-78-6,ETHYL ACETATE,Fruity,No description available,C4 O2,Ester,Aliphatic,No,Top Note,Hydrophilic (Water Compatible),88.11,0.57,CCOC(=O)C
3FG00172,Ethyl Acetoacetate from PerfumersWorld,141-97-9,ethyl acetoacetate,Fruity,No description available,C6 O3,"Ester, Ketone",Aliphatic,No,Top Note,Hydrophilic (Water Compatible),130.14,0.53,CCOC(=O)CC(=O)C
4FY00173,Ethyl Amyl Ketone from PerfumersWorld,106-68-3,3-Octanone,Green (Herbal),No description available,C8 O1,Ketone,Aliphatic,No,Top Note,Standard (Alcohol Compatible),128.21,2.55,CCCCCC(=O)CC
3NF03984,Ethyl Anthranilate from PerfumersWorld,87-25-2,ETHYL ANTHRANILATE,Fruity,No description available,C9 O2 N1,"Amine, Ester",Aromatic (Benzene),No,Heart Note,Standard (Alcohol Compatible),165.19,1.45,CCOC(=O)C1=CC=CC=C1N
5NJ12470,Ethyl Benzoate 10% in DPG from PerfumersWorld,93-89-0,ETHYL BENZOATE,Mint,No description available,C9 O2,Ester,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),150.18,1.86,CCOC(=O)C1=CC=CC=C1
3NJ01315,Ethyl Benzoate from PerfumersWorld,93-89-0,ETHYL BENZOATE,Mint,No description available,C9 O2,Ester,Aromatic (Benzene),No,Top Note,Standard (Alcohol Compatible),150.18,1.86,CCOC(=O)C1=CC=CC=C1
3FD00174,Ethyl Butyrate from PerfumersWorld,105-54-4,ETHYL BUTYRATE,Fruity,No description available,C6 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),116.16,1.35,CCCC(=O)OCC
8F3094001434,Ethyl Butyrate from SimpleScentsDIY,105-54-4,ETHYL BUTYRATE,Fruity,No description available,C6 O2,Ester,Aliphatic,No,Top Note,Standard (Alcohol Compatible),116.16,1.35,CCCC(=O)OCC
4FY02024,Ethyl Heptylate from PerfumersWorld,106-30-9,ETHYL HEPTANOATE,Fruity,No description available,C9 O2,Ester,Aliphatic,No,Heart Note,Standard (Alcohol Compatible),158.24,2.52,CCCCCCC(=O)OCC
